symbol,security,sec_filings,gics_sector,sub_industry,headquarters,date_added,cik,founded,
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980,
VTR,Ventas,reports,Real Estate,Health Care REITs,"Chicago, Illinois",4/03/2009,740260,1998,
VRSN,Verisign,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",1/02/2006,1014473,1995,
VRSK,Verisk,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",8/10/2015,1442145,1971,
VZ,Verizon,reports,Communication Services,Integrated Telecommunication Services,"New York City, New York",30/11/1983,732712,1983 (1877),
VRTX,Vertex Pharmaceuticals,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",23/09/2013,875320,1989,
VFC,VF Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",30/06/1979,103379,1899,
VTRS,Viatris,reports,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",23/04/2004,1792044,1961,
VICI,Vici Properties,reports,Real Estate,Hotel & Resort REITs,"New York City, New York",8/06/2022,1705696,2017,
V,Visa Inc.,reports,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",21/12/2009,1403161,1958,
VNO,Vornado Realty Trust,reports,Real Estate,Office REITs,"New York City, New York",2005,899689,1982,
VMC,Vulcan Materials Company,reports,Materials,Construction Materials,"Birmingham, Alabama",30/06/1999,1396009,1909,
WAB,Wabtec,reports,Industrials,Construction Machinery & Heavy Trucks,"Pittsburgh, Pennsylvania",27/02/2019,943452,1999 (1869),
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",31/12/1979,1618921,2014,
WMT,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",31/08/1982,104169,1962,
WBD,Warner Bros. Discovery,reports,Communication Services,Broadcasting,"New York City, New York",11/04/2022,1437107,2022,
WM,Waste Management,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968,
WAT,Waters Corporation,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,1958,
WEC,WEC Energy Group,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",31/10/2008,783325,1896,
WFC,Wells Fargo,reports,Financials,Diversified Banks,"San Francisco, California",30/06/1976,72971,1852,
WELL,Welltower,reports,Real Estate,Health Care REITs,"Toledo, Ohio",30/01/2009,766704,1970,
